time	data	error	fit	res
0.0000000500	-0.1736877352	0.1779527809	7.4057871902	-42.5926186030
0.0000001000	12.3730773769	0.8369899317	7.3935221587	5.9493609535
0.0000001500	9.8921615456	0.4293352457	7.3813415646	5.8481571366
0.0000002000	8.5143272117	0.1170170662	7.3692447753	9.7856019923
0.0000002500	8.1405181933	0.1314357633	7.3572311633	5.9594665114
0.0000003000	7.7723954528	0.3015578049	7.3453001055	1.4162967777
0.0000003500	7.5987980247	0.2033009632	7.3334509835	1.3051932320
0.0000004000	7.7536694062	0.2180336053	7.3216831837	1.9812827566
0.0000004500	7.6264964420	0.1461942008	7.3099960971	2.1649309148
0.0000005000	7.6884144402	0.2875779045	7.2983891191	1.3562423084
0.0000005500	7.6692091633	0.0947375352	7.2868616499	4.0358608916
0.0000006000	7.2482857394	0.2647773058	7.2754130940	-0.1024534730
0.0000006500	7.8827753608	0.2829819633	7.2640428604	2.1864732758
0.0000007000	7.4507973648	0.2781146910	7.2527503628	0.7121055032
0.0000007500	7.5306373591	0.1166310628	7.2415350190	2.4787765212
0.0000008000	7.4114659674	0.1084370105	7.2303962512	1.6698147195
0.0000008500	7.2559211033	0.1746460156	7.2193334862	0.2094958593
0.0000009000	7.1753462030	0.3109411285	7.2083461549	-0.1061292602
0.0000009500	7.3332190449	0.1011970103	7.1974336925	1.3417921332
0.0000010000	7.1922960228	0.0377907000	7.1865955385	0.1508435765
0.0000010500	7.1942956966	0.1867752983	7.1758311365	0.0988597543
0.0000011000	7.1477861456	0.0365875164	7.1651399345	-0.4743090158
0.0000012000	7.3676327015	0.1008653585	7.1439749426	2.2173892226
0.0000013000	7.1674674108	0.0650308887	7.1230962282	0.6823093373
0.0000014000	7.3262999029	0.2480057302	7.1024995216	0.9024000419
0.0000015000	7.5063140400	0.2643760527	7.0821806174	1.6042807898
0.0000016000	7.0916165214	0.1436365732	7.0621353727	0.2052482035
0.0000017000	7.3164612525	0.1544061703	7.0423597073	1.7751981334
0.0000018000	7.3107349037	0.1655564843	7.0228496015	1.7388947555
0.0000019000	6.9724150429	0.1336156078	7.0036010962	-0.2334012758
0.0000020000	6.8341444784	0.1480674969	6.9846102916	-1.0161974528
0.0000022000	7.0776329080	0.0545855119	6.9473864760	2.3860989388
0.0000024000	6.9497890462	0.0821590904	6.9111481087	0.4703184685
0.0000026000	7.0570440591	0.0759280124	6.8758660370	2.3861815485
0.0000028000	7.0763598968	0.1295371292	6.8415119752	1.8129776612
0.0000030000	6.6060705732	0.0740686338	6.8080584789	-2.7270370102
0.0000032000	6.7620727739	0.0679475582	6.7754789195	-0.1973013598
0.0000034000	6.6610640044	0.0445597461	6.7437474606	-1.8555638992
0.0000036000	6.7214713076	0.0721192304	6.7128390337	0.1196944812
0.0000038000	6.7931201108	0.0482793802	6.6827293159	2.2864998378
0.0000040000	6.5531245365	0.0479831410	6.6533947074	-2.0896958540
0.0000044000	6.4924872739	0.0444302019	6.5969599073	-2.3513877684
0.0000048000	6.5217796481	0.0383596794	6.5433594979	-0.5625659572
0.0000052000	6.4951955453	0.0208481616	6.4924286032	0.1327187574
0.0000056000	6.4551164611	0.0661902966	6.4440120049	0.1677656205
0.0000060000	6.3207015605	0.0494902644	6.3979635765	-1.5611558541
0.0000064000	6.3574427956	0.0930084834	6.3541457502	0.0354488679
0.0000068000	6.2116066678	0.0466463182	6.3124290152	-2.1614213390
0.0000072000	6.2237326100	0.0440551439	6.2726914457	-1.1113080410
0.0000076000	6.1716468096	0.0303171723	6.2348182560	-2.0836853080
0.0000080000	6.1239694505	0.0432750284	6.1987013823	-1.7269065933
0.0000088000	6.1024387652	0.0467681873	6.1313355952	-0.6178736368
0.0000096000	6.0747034458	0.0635429813	6.0698496043	0.0763867443
0.0000104000	6.0187807911	0.0117208589	6.0135835508	0.4434180398
0.0000112000	6.0214818213	0.0208161604	5.9619525687	2.8597614237
0.0000120000	5.8723796629	0.0726455348	5.9144382540	-0.5789563153
0.0000128000	5.9448853600	0.0645787443	5.8705811039	1.1505992699
0.0000136000	5.8642725333	0.0361419258	5.8299738161	0.9490008197
0.0000144000	5.8646036151	0.0510578341	5.7922553516	1.4169865372
0.0000152000	5.6953178807	0.1252230169	5.7571056726	-0.4934220037
0.0000160000	5.7927757644	0.0583193202	5.7242410790	1.1751626247
0.0000176000	5.6502677171	0.0692266180	5.6643897117	-0.2039965994
0.0000192000	5.6230982522	0.0571643794	5.6110126993	0.2114175466
0.0000208000	5.5604354922	0.0363656046	5.5627828430	-0.0645486515
0.0000224000	5.5392243342	0.0299309644	5.5186567960	0.6871659024
0.0000240000	5.4510337659	0.0384828313	5.4778141937	-0.6959058591
0.0000256000	5.4427530693	0.0554664635	5.4396098422	0.0566689658
0.0000272000	5.3532808481	0.0821011293	5.4035361642	-0.6121147976
0.0000288000	5.4413927303	0.0192210640	5.3691937001	3.7562452432
0.0000304000	5.3896080763	0.0337530786	5.3362679365	1.5803044340
0.0000320000	5.3328771349	0.0182567438	5.3045111037	1.5537289431
0.0000352000	5.3061794139	0.0293821037	5.2437641451	2.1242614007
0.0000384000	5.1508818024	0.0353079419	5.1858337208	-0.9899166172
0.0000416000	5.0779673320	0.0656184581	5.1300199852	-0.7932623646
0.0000448000	5.0528101141	0.0122750628	5.0758821529	-1.8795862140
0.0000480000	5.0269928873	0.0121202426	5.0231396094	0.3179208593
0.0000512000	4.9384492349	0.0553504013	4.9716108582	-0.5991216408
0.0000544000	4.8805726721	0.0328780934	4.9211758231	-1.2349606306
0.0000576000	4.7981392759	0.0362872342	4.8717525659	-2.0286277415
0.0000608000	4.7567129186	0.0536141247	4.8232829039	-1.2416501392
0.0000640000	4.6988142533	0.0421913355	4.7757235228	-1.8228688122
0.0000704000	4.6512364159	0.0307922899	4.6832058147	-1.0382273924
0.0000768000	4.5091734516	0.0545118808	4.5939877794	-1.5558870191
0.0000832000	4.4557333592	0.0393534593	4.5079028490	-1.3256646495
0.0000896000	4.3816548594	0.0401745422	4.4248059540	-1.0740905125
0.0000960000	4.2738711770	0.0716936075	4.3445642749	-0.9860446471
0.0001024000	4.2072695324	0.0484658878	4.2670534869	-1.2335264483
0.0001088000	4.1228941572	0.0523600698	4.1921561141	-1.3228010793
0.0001152000	4.0581429798	0.0381384192	4.1197607043	-1.6156339399
